"cluster","dt_apex_ms","rt_apex_s","dt_apex_to_min_ms","dt_apex_to_max_ms","rt_apex_to_min_s","rt_apex_to_max_s","dt_min_ms","dt_max_ms","dt_length_ms","rt_min_s","rt_max_s","rt_length_s"
"Cluster79",14.4733333333333,605.85,0.0666666666666664,0.0533333333333346,4.41000000000006,3.05549999999998,14.4066666666667,14.5266666666667,0.120000000000001,601.44,608.9055,7.46550000000002
"Cluster83",14.96,663.18,0.100666666666667,0.0913333333333337,0.840000000000032,7.63349999999992,14.8593333333333,15.0513333333333,0.192,662.34,670.8135,8.47349999999994
"Cluster1",8.70666666666667,445.62,0.0533333333333328,0.0533333333333328,6.09,3.56999999999999,8.65333333333333,8.76,0.106666666666666,439.53,449.19,9.65999999999997
"Cluster31",10.3733333333333,371.28,0.0533333333333346,0.0533333333333328,1.64850000000001,2.84549999999999,10.32,10.4266666666667,0.106666666666667,369.6315,374.1255,4.49400000000003
"Cluster39",10.92,399,0.0533333333333328,0.0533333333333346,3.94799999999999,5.29200000000001,10.8666666666667,10.9733333333333,0.106666666666667,395.052,404.292,9.24000000000001
"Cluster43",10.96,428.4,0.0533333333333328,0.0533333333333328,4.62,3.78000000000003,10.9066666666667,11.0133333333333,0.106666666666666,423.78,432.18,8.40000000000003
"Cluster50",11.0533333333333,516.6,0.0533333333333346,0.0533333333333328,4.19999999999998,3.36000000000001,11,11.1066666666667,0.106666666666667,512.4,519.96,7.55999999999995
"Cluster53",11.5533333333333,627.06,0.0533333333333328,0.0533333333333346,4.04250000000003,3.87450000000005,11.5,11.6066666666667,0.106666666666667,623.0175,630.9345,7.91700000000003
"Cluster58",12.0933333333333,338.31,0.0666666666666664,0.0666666666666672,6.79349999999999,5.43900000000001,12.0266666666667,12.16,0.133333333333333,331.5165,343.749,12.2325
"Cluster60",12.0933333333333,435.33,0.0533333333333328,0.0533333333333346,9.45000000000002,5.03999999999999,12.04,12.1466666666667,0.106666666666667,425.88,440.37,14.49
"Cluster52",11.2933333333333,228.165,0.0666666666666682,0.0593333333333329,9.82800000000002,2.52000000000001,11.2266666666667,11.3526666666667,0.126000000000001,218.337,230.685,12.348
