"cluster","dt_apex_ms","rt_apex_s","dt_apex_to_min_ms","dt_apex_to_max_ms","rt_apex_to_min_s","rt_apex_to_max_s","dt_min_ms","dt_max_ms","dt_length_ms","rt_min_s","rt_max_s","rt_length_s"
"Cluster33",9.14666666666667,500.64,0.0399999999999991,0.0400000000000009,4.41,2.31000000000001,9.10666666666667,9.18666666666667,0.0800000000000001,496.23,502.95,6.72000000000003
"Cluster21",8.98666666666667,810.705,0.0399999999999991,0.0533333333333346,2.73000000000002,1.31250000000003,8.94666666666667,9.04,0.0933333333333337,807.975,812.0175,4.04250000000002
"Cluster9",8.98666666666667,253.785,0.0533333333333328,0.0533333333333346,4.97699999999999,4.41000000000001,8.93333333333333,9.04,0.106666666666667,248.808,258.195,9.387
"Cluster30",9.12,707.07,0.0460000000000011,0.0399999999999991,8.07450000000003,3.12899999999997,9.074,9.16,0.0860000000000003,698.9955,710.199,11.2035000000001
"Cluster41",9.25333333333333,426.3,0.0479999999999993,0.0533333333333328,4.11600000000003,3.56999999999999,9.20533333333333,9.30666666666667,0.101333333333333,422.184,429.87,7.68600000000004
"Cluster159",10.4266666666667,1148.91,0.0533333333333328,0.0493333333333327,10.521,5.94300000000009,10.3733333333333,10.476,0.102666666666666,1138.389,1154.853,16.4639999999999
"Cluster238",11.3466666666667,1259.79,0.0533333333333328,0.0533333333333328,2.59350000000006,3.08699999999989,11.2933333333333,11.4,0.106666666666666,1257.1965,1262.877,5.68049999999994
"Cluster14",8.98666666666667,510.09,0.0533333333333328,0.0400000000000009,4.17899999999999,1.91100000000002,8.93333333333333,9.02666666666667,0.0933333333333337,505.911,512.001,6.08999999999997
"Cluster68",9.65333333333333,269.745,0.0533333333333328,0.0400000000000003,5.63849999999998,10.71,9.6,9.69333333333334,0.0933333333333337,264.1065,280.455,16.3485
"Cluster285",12.6,420.21,0.0533333333333342,0.0506666666666661,4.11599999999999,3.52800000000002,12.5466666666667,12.6506666666667,0.104000000000001,416.094,423.738,7.64400000000001
"Cluster134",10.1466666666667,893.865,0.0533333333333328,0.0533333333333346,2.84550000000004,4.09500000000006,10.0933333333333,10.2,0.106666666666667,891.0195,897.96,6.94050000000004
"Cluster302",13.2133333333333,547.68,0.0666666666666664,0.0706666666666665,5.73299999999997,4.53599999999999,13.1466666666667,13.284,0.137333333333332,541.947,552.216,10.2689999999999
"Cluster342",14.6,547.68,0.0666666666666675,0.0666666666666664,5.83800000000003,5.79599999999998,14.5333333333333,14.6666666666667,0.133333333333335,541.842,553.476,11.634
"Cluster128",10.1,808.815,0.0533333333333328,0.0533333333333328,5.87999999999997,5.0925,10.0466666666667,10.1533333333333,0.106666666666666,802.935,813.9075,10.9725
"Cluster168",10.5933333333333,1252.23,0.0533333333333346,0.0533333333333328,2.60400000000003,3.3599999999999,10.54,10.6466666666667,0.106666666666667,1249.626,1255.59,5.96399999999994
"Cluster32",9.14666666666667,440.685,0.0486666666666666,0.0620000000000014,5.25,2.8665,9.098,9.20866666666667,0.110666666666667,435.435,443.5515,8.11650000000003
"Cluster258",12.1066666666667,127.05,0.0533333333333328,0.0533333333333328,2.751,2.289,12.0533333333333,12.16,0.106666666666666,124.299,129.339,5.03999999999999
"Cluster69",9.66666666666667,508.83,0.0400000000000009,0.0399999999999991,4.57799999999999,3.11849999999998,9.62666666666667,9.70666666666667,0.0800000000000001,504.252,511.9485,7.69649999999996
